"sentiment.data","Freq","connotation"
"Academic",1,"Neutral"
"Accomplished",1,"Positive"
"Afraid",2,"Negative"
"Ambiguous",1,"Neutral"
"Analyse",2,"Neutral"
"Anticipated",1,"Positive"
"Anxious",13,"Negative"
"Apprehensive",5,"Negative"
"Calm",2,"Positive"
"Challenging",9,"Negative"
"Cheerful",1,"Positive"
"Communication",3,"Neutral"
"Compulsory",1,"Negative"
"Concerned",3,"Negative"
"Confident",2,"Positive"
"Confused",6,"Negative"
"Cool",1,"Positive"
"Cooperation",2,"Positive"
"Critical Thinking",1,"Neutral"
"Curious",34,"Positive"
"Dedicated",1,"Positive"
"Delightful",1,"Positive"
"Desirable",1,"Positive"
"Difficult",6,"Negative"
"Doubtful",1,"Negative"
"Driven",1,"Positive"
"Eager",2,"Positive"
"Enjoy",2,"Positive"
"Enormous",1,"Positive"
"Excited",54,"Positive"
"Expecting",2,"Positive"
"Final",1,"Neutral"
"Fine",2,"Neutral"
"First",1,"Neutral"
"Fun",2,"Positive"
"Good",2,"Positive"
"Grouped",1,"Neutral"
"Groups",1,"Neutral"
"Happy",4,"Positive"
"Hard",5,"Negative"
"Helpful",2,"Positive"
"Hesitated",1,"Negative"
"Hopeful",8,"Positive"
"Important",2,"Positive"
"Independent",2,"Positive"
"Indifferent",1,"Neutral"
"Innovative",1,"Positive"
"Inquisitive",1,"Positive"
"Intense",1,"Negative"
"Interested",19,"Positive"
"Intrigued",4,"Positive"
"Motivated",4,"Positive"
"Must",1,"Negative"
"Necessary",1,"Negative"
"Nervous",52,"Negative"
"Nostalgic",1,"Positive"
"Novel",1,"Negative"
"Open-Minded",2,"Positive"
"Pleased",1,"Positive"
"Positive",1,"Positive"
"Practical",4,"Positive"
"Pragmatic",1,"Neutral"
"Precise",1,"Neutral"
"Prepared",2,"Positive"
"Pressured",1,"Negative"
"Professional",2,"Positive"
"Progressive",1,"Positive"
"Puzzled",1,"Negative"
"Questions",1,"Positive"
"Ready",1,"Positive"
"Reassured",1,"Positive"
"Relaxed",1,"Positive"
"Report",1,"Positive"
"Responsible",1,"Positive"
"Review",1,"Positive"
"Scared",10,"Negative"
"Scholarship",1,"Positive"
"Self-Doubt",1,"Negative"
"Semi-Prepared",1,"Neutral"
"Shy",1,"Neutral"
"Special",1,"Positive"
"Statistical",2,"Neutral"
"Stressed",7,"Negative"
"Talking",1,"Neutral"
"Teamwork",8,"Positive"
"Tense",1,"Neutral"
"Thorough",1,"Positive"
"Thrilled",1,"Positive"
"Tough",1,"Negative"
"Transition",1,"Positive"
"Tricky",1,"Neutral"
"Try",1,"Neutral"
"Uncertain",4,"Negative"
"Unconfident",1,"Negative"
"Uneasy",1,"Negative"
"Unfamiliar",1,"Negative"
"Unique",1,"Positive"
"United",1,"Positive"
"Unknown",5,"Neutral"
"Unsettled",1,"Negative"
"Unsure",4,"Neutral"
"Useful",2,"Positive"
"Venturesome",1,"Positive"
"Weird",1,"Neutral"
"Work",1,"Neutral"
"Worried",13,"Negative"
